row_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
28,37,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,17,nov,1,-1,0,unknown,no
29,42,technician,married,secondary,no,370,no,no,unknown,19,jun,5,-1,0,unknown,no
30,33,management,single,tertiary,no,12,no,no,cellular,20,aug,5,-1,0,unknown,no
31,31,blue-collar,married,primary,no,26,yes,no,unknown,20,may,26,-1,0,unknown,no
32,56,management,married,tertiary,no,0,no,no,cellular,17,nov,1,-1,0,unknown,no
33,44,management,single,secondary,no,-228,yes,yes,cellular,13,may,1,362,2,failure,no
34,52,technician,married,secondary,no,230,yes,yes,cellular,21,nov,4,-1,0,unknown,no
35,37,entrepreneur,married,tertiary,no,2685,no,no,unknown,20,jun,2,-1,0,unknown,no
36,57,admin.,single,secondary,no,7400,yes,no,cellular,11,may,2,-1,0,unknown,no
37,48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,3,-1,0,unknown,no
38,33,management,divorced,tertiary,no,47,no,no,cellular,21,nov,3,-1,0,unknown,no
39,43,management,married,tertiary,no,177,no,no,unknown,20,jun,18,-1,0,unknown,no
40,34,admin.,single,secondary,no,151,yes,no,cellular,12,may,1,370,1,other,yes
41,33,blue-collar,married,unknown,no,2655,yes,no,cellular,21,nov,1,-1,0,unknown,no
42,36,admin.,married,secondary,no,1031,no,no,cellular,17,jun,4,-1,0,unknown,yes
43,38,technician,married,secondary,no,1448,yes,no,cellular,20,nov,1,-1,0,unknown,no
44,39,technician,divorced,tertiary,no,113,yes,yes,cellular,2,apr,2,-1,0,unknown,no
45,29,blue-collar,single,secondary,no,-125,yes,no,unknown,29,may,3,-1,0,unknown,no
46,50,blue-collar,married,primary,no,1549,yes,no,cellular,11,may,2,299,6,other,no
47,52,management,married,tertiary,no,3634,no,no,cellular,8,feb,8,-1,0,unknown,yes
48,58,admin.,divorced,secondary,no,1713,no,no,unknown,15,may,2,-1,0,unknown,no
49,59,management,single,tertiary,no,68,yes,no,unknown,28,may,2,-1,0,unknown,no
50,41,admin.,married,secondary,no,-18,yes,yes,unknown,2,jun,6,-1,0,unknown,no
51,23,technician,single,unknown,no,231,yes,no,cellular,7,may,3,367,1,other,no
52,36,blue-collar,married,tertiary,no,9,yes,no,unknown,18,jun,3,-1,0,unknown,no
53,46,blue-collar,married,primary,no,44,no,yes,cellular,10,jul,9,-1,0,unknown,no
54,31,unemployed,married,secondary,no,31,yes,no,cellular,15,jul,6,-1,0,unknown,no
55,70,retired,married,primary,no,2346,no,no,cellular,24,feb,1,184,5,failure,yes
56,25,blue-collar,single,secondary,no,579,yes,no,unknown,28,may,4,-1,0,unknown,no
57,48,unemployed,married,tertiary,no,-471,yes,no,unknown,19,may,7,-1,0,unknown,no
58,57,housemaid,divorced,tertiary,no,3767,no,no,cellular,2,feb,6,-1,0,unknown,no
59,42,technician,divorced,secondary,no,1689,yes,no,cellular,31,jul,2,-1,0,unknown,no
60,26,student,single,unknown,no,689,no,no,cellular,25,may,2,-1,0,unknown,yes
61,43,admin.,single,secondary,no,733,yes,no,cellular,19,nov,3,-1,0,unknown,yes
62,33,services,married,secondary,no,5034,yes,no,unknown,8,may,3,-1,0,unknown,no
63,27,admin.,married,secondary,no,4,yes,no,unknown,6,may,1,-1,0,unknown,no
64,29,blue-collar,single,secondary,no,-20,yes,no,unknown,29,may,2,-1,0,unknown,yes
65,44,services,single,secondary,no,0,yes,no,unknown,14,may,1,-1,0,unknown,no
66,48,management,married,tertiary,no,269,yes,no,cellular,15,jul,2,-1,0,unknown,no
67,32,technician,single,secondary,no,792,no,no,cellular,29,aug,2,-1,0,unknown,no
68,50,blue-collar,married,primary,no,1064,yes,no,cellular,8,aug,2,-1,0,unknown,no
69,44,management,married,primary,no,5418,yes,yes,cellular,28,jul,5,-1,0,unknown,no
70,36,management,single,tertiary,no,7606,yes,no,unknown,30,may,1,-1,0,unknown,yes
71,58,admin.,married,secondary,no,92,yes,no,unknown,27,may,1,-1,0,unknown,no
72,58,management,divorced,tertiary,no,1533,no,no,unknown,15,may,2,-1,0,unknown,no
73,41,admin.,single,secondary,no,-22,yes,no,unknown,4,jun,2,-1,0,unknown,no
74,28,technician,married,tertiary,no,107,yes,no,cellular,29,jul,13,-1,0,unknown,no
75,33,blue-collar,single,secondary,no,687,yes,no,unknown,9,may,1,-1,0,unknown,no
76,26,technician,single,secondary,no,1275,yes,no,unknown,20,jun,9,-1,0,unknown,no
77,47,unemployed,married,secondary,no,926,no,no,cellular,14,aug,1,403,5,success,yes
78,34,blue-collar,married,secondary,no,29,yes,no,cellular,15,may,5,-1,0,unknown,yes
79,49,blue-collar,married,secondary,no,3348,no,no,cellular,4,aug,1,-1,0,unknown,no
80,44,management,married,tertiary,no,368,no,no,cellular,9,jul,3,-1,0,unknown,no
81,37,blue-collar,single,primary,no,0,yes,yes,cellular,22,jul,1,-1,0,unknown,no
82,31,admin.,married,secondary,no,393,yes,no,unknown,14,may,1,-1,0,unknown,no
83,57,housemaid,married,primary,no,473,no,no,unknown,9,jun,1,-1,0,unknown,no
84,31,unemployed,single,secondary,no,199,yes,no,unknown,16,may,1,-1,0,unknown,no
85,50,technician,married,unknown,no,413,yes,no,unknown,19,may,2,-1,0,unknown,no
86,46,blue-collar,married,primary,no,1114,yes,no,unknown,15,may,3,-1,0,unknown,no
87,65,unemployed,married,secondary,no,3195,no,no,telephone,2,mar,1,-1,0,unknown,yes
88,31,admin.,single,secondary,no,554,yes,no,cellular,11,feb,1,6,1,failure,no
89,29,self-employed,married,tertiary,yes,0,yes,yes,unknown,5,jun,3,-1,0,unknown,no
90,51,management,married,tertiary,no,5108,yes,no,cellular,8,oct,1,102,8,other,no
91,35,admin.,married,secondary,no,5250,yes,no,cellular,15,apr,2,146,1,failure,no
92,40,services,divorced,secondary,no,5745,yes,yes,unknown,23,may,1,-1,0,unknown,no
93,42,management,married,tertiary,no,2816,no,no,cellular,10,nov,2,-1,0,unknown,yes
94,24,student,single,secondary,no,1719,no,no,cellular,13,aug,4,-1,0,unknown,no
95,59,housemaid,divorced,primary,no,259,no,no,cellular,31,jul,4,-1,0,unknown,no
96,36,services,married,primary,no,0,yes,no,unknown,2,jun,1,-1,0,unknown,yes
97,37,blue-collar,married,primary,no,508,yes,yes,cellular,15,may,1,-1,0,unknown,no
98,59,housemaid,married,primary,no,935,yes,no,cellular,19,nov,3,166,2,failure,no
99,25,blue-collar,married,secondary,no,53,yes,no,unknown,13,may,2,-1,0,unknown,no
100,31,technician,married,secondary,no,-556,yes,no,cellular,7,aug,2,-1,0,unknown,no
101,75,retired,divorced,primary,no,3881,yes,no,cellular,4,feb,3,-1,0,unknown,yes
102,39,technician,married,secondary,no,425,yes,no,cellular,6,aug,3,-1,0,unknown,no
103,37,management,single,tertiary,no,3452,yes,no,cellular,29,aug,9,-1,0,unknown,no
104,48,blue-collar,married,secondary,no,2083,no,no,cellular,8,aug,3,-1,0,unknown,no
105,31,admin.,married,secondary,no,1130,yes,no,cellular,23,jul,5,-1,0,unknown,no
106,45,technician,married,secondary,no,0,yes,yes,unknown,20,jun,5,-1,0,unknown,no
107,53,self-employed,single,unknown,no,289,no,no,cellular,4,feb,1,-1,0,unknown,no
108,28,services,single,secondary,no,290,yes,no,cellular,18,may,1,-1,0,unknown,no
109,42,admin.,divorced,secondary,no,2397,yes,no,cellular,15,apr,2,320,2,failure,no
110,35,technician,married,tertiary,no,393,no,no,cellular,29,aug,2,-1,0,unknown,no
111,52,blue-collar,married,primary,no,4015,yes,no,unknown,15,may,2,-1,0,unknown,no
112,45,unemployed,divorced,primary,no,407,yes,no,cellular,17,apr,1,-1,0,unknown,no
113,48,services,married,secondary,no,300,no,yes,cellular,16,jul,8,-1,0,unknown,no
114,30,management,single,tertiary,no,4,yes,no,cellular,17,jul,1,-1,0,unknown,no
115,42,entrepreneur,married,tertiary,no,1654,no,no,unknown,17,jun,1,-1,0,unknown,no
116,34,management,divorced,tertiary,no,5754,yes,no,cellular,18,nov,1,181,1,failure,no
117,32,blue-collar,single,secondary,no,3201,yes,no,cellular,20,nov,1,178,5,failure,no
118,31,technician,single,secondary,no,271,yes,no,cellular,5,may,1,-1,0,unknown,no
119,50,technician,single,tertiary,no,0,yes,no,unknown,8,may,2,-1,0,unknown,no
120,29,blue-collar,married,secondary,no,275,yes,no,cellular,18,may,1,-1,0,unknown,no
121,34,management,single,tertiary,no,84,no,no,cellular,5,feb,1,-1,0,unknown,no
122,41,technician,divorced,secondary,no,988,no,no,cellular,21,aug,2,-1,0,unknown,no
123,40,blue-collar,married,primary,no,3736,yes,no,unknown,19,may,3,-1,0,unknown,no
124,37,services,married,secondary,no,343,yes,yes,cellular,7,may,1,304,7,failure,no
125,26,student,single,tertiary,no,10086,no,no,cellular,8,jul,3,78,2,success,no
126,39,blue-collar,single,secondary,no,290,yes,no,cellular,5,may,1,336,1,other,no
127,51,entrepreneur,married,secondary,no,5403,yes,no,cellular,19,nov,1,-1,0,unknown,no
128,39,blue-collar,married,primary,no,499,yes,no,cellular,13,may,1,-1,0,unknown,no
129,38,blue-collar,married,primary,no,4592,yes,no,cellular,12,may,1,-1,0,unknown,no
130,38,technician,single,secondary,no,884,yes,yes,cellular,19,nov,1,111,2,failure,no
131,37,technician,divorced,secondary,no,3068,yes,yes,cellular,20,nov,2,195,1,other,yes
132,30,services,married,primary,no,1015,yes,no,cellular,30,jul,8,-1,0,unknown,no
133,61,retired,married,secondary,no,3114,no,no,cellular,13,nov,1,-1,0,unknown,yes
134,26,technician,single,secondary,no,150,yes,no,unknown,28,may,1,-1,0,unknown,no
135,43,entrepreneur,married,secondary,no,0,yes,no,unknown,20,jun,1,-1,0,unknown,no
136,48,management,single,tertiary,no,906,yes,no,telephone,29,jul,9,-1,0,unknown,no
137,48,unknown,married,unknown,no,558,no,no,cellular,25,aug,6,-1,0,unknown,no
138,32,technician,married,secondary,no,901,yes,no,unknown,21,may,3,-1,0,unknown,no
139,35,technician,married,secondary,no,-215,no,yes,cellular,31,jul,34,-1,0,unknown,no
140,30,management,single,tertiary,no,3849,no,no,telephone,29,aug,2,-1,0,unknown,no
141,53,blue-collar,married,unknown,no,960,no,yes,unknown,24,jun,1,687,2,other,no
142,28,unemployed,single,secondary,no,23,no,no,cellular,28,jan,1,-1,0,unknown,no
143,43,services,married,secondary,no,642,no,no,cellular,31,jul,2,-1,0,unknown,no
144,50,technician,married,secondary,no,349,yes,no,telephone,28,jul,17,-1,0,unknown,no
145,30,technician,married,secondary,no,33,yes,no,cellular,18,may,2,-1,0,unknown,no
146,57,retired,married,primary,no,0,no,no,cellular,20,aug,4,-1,0,unknown,no
147,37,blue-collar,single,primary,no,0,no,no,unknown,5,jun,1,-1,0,unknown,no
148,37,technician,married,secondary,no,83,yes,no,cellular,6,may,1,363,1,failure,no
149,32,management,married,tertiary,no,2667,yes,no,cellular,4,mar,1,181,4,failure,yes
150,26,services,divorced,secondary,no,1600,yes,yes,unknown,30,may,3,-1,0,unknown,no
151,42,unemployed,married,primary,no,2636,no,no,cellular,17,nov,2,151,1,failure,no
152,32,blue-collar,married,secondary,no,130,yes,no,cellular,6,may,2,-1,0,unknown,no
153,36,technician,single,secondary,no,539,yes,no,cellular,27,aug,2,477,1,failure,yes
154,35,management,single,tertiary,no,71,yes,no,unknown,21,may,12,-1,0,unknown,no
155,35,blue-collar,single,secondary,no,-37,yes,yes,unknown,2,jun,2,-1,0,unknown,no
156,42,retired,married,secondary,no,56,yes,no,unknown,5,may,1,-1,0,unknown,no
157,44,entrepreneur,divorced,tertiary,no,316,yes,no,cellular,18,nov,1,-1,0,unknown,no
158,51,technician,married,secondary,no,47,no,no,cellular,18,aug,4,-1,0,unknown,no
159,36,technician,divorced,secondary,no,5957,yes,no,cellular,18,nov,2,-1,0,unknown,no
160,37,management,married,tertiary,no,785,yes,no,cellular,17,nov,2,-1,0,unknown,no
161,40,technician,married,tertiary,no,677,yes,no,cellular,15,apr,3,-1,0,unknown,no
162,30,blue-collar,married,primary,no,265,yes,yes,unknown,9,may,1,-1,0,unknown,no
163,30,blue-collar,married,secondary,no,5903,yes,no,cellular,6,may,1,363,1,failure,no
164,33,blue-collar,married,secondary,no,372,yes,no,unknown,6,may,2,-1,0,unknown,no
165,36,self-employed,single,secondary,no,1173,yes,yes,unknown,20,jun,5,-1,0,unknown,no
166,34,management,single,tertiary,no,966,yes,no,cellular,21,nov,1,101,3,failure,no
167,35,management,married,secondary,no,1,yes,no,unknown,29,may,2,-1,0,unknown,no
168,34,management,married,tertiary,no,1433,no,no,cellular,8,aug,3,-1,0,unknown,no
169,33,management,married,tertiary,no,322,yes,no,cellular,16,apr,3,-1,0,unknown,no
170,51,management,married,tertiary,no,285,no,no,cellular,9,feb,2,-1,0,unknown,no
171,36,self-employed,married,tertiary,no,16430,yes,no,unknown,6,jun,3,-1,0,unknown,no
172,32,management,married,tertiary,no,937,no,no,cellular,28,aug,1,94,2,failure,no
173,35,technician,single,tertiary,no,0,yes,no,telephone,28,aug,2,-1,0,unknown,no
174,39,blue-collar,married,secondary,no,804,yes,no,unknown,21,may,1,-1,0,unknown,no
175,54,blue-collar,married,primary,no,211,no,no,unknown,19,jun,2,-1,0,unknown,no
176,30,management,single,tertiary,no,1572,no,no,cellular,28,jan,1,-1,0,unknown,no
177,23,blue-collar,single,secondary,no,525,yes,no,unknown,19,may,1,-1,0,unknown,no
178,30,admin.,married,secondary,no,15,yes,no,unknown,9,may,1,-1,0,unknown,no
179,30,blue-collar,married,secondary,no,-269,yes,no,unknown,27,may,2,-1,0,unknown,no
180,32,technician,single,tertiary,no,392,yes,no,cellular,21,nov,2,-1,0,unknown,no
181,60,technician,married,secondary,no,1740,no,no,cellular,13,mar,2,-1,0,unknown,yes
182,36,management,married,tertiary,no,-2,no,no,cellular,11,aug,2,-1,0,unknown,no
183,51,blue-collar,married,unknown,no,125,yes,no,unknown,8,may,2,-1,0,unknown,no
184,30,admin.,single,secondary,no,914,yes,no,cellular,28,oct,3,272,1,failure,yes
185,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,1,-1,0,unknown,no
186,58,management,married,tertiary,no,4265,yes,no,unknown,29,may,2,-1,0,unknown,no
187,54,blue-collar,married,primary,no,258,no,no,telephone,25,may,1,88,1,failure,no
188,30,admin.,single,secondary,no,2568,no,no,cellular,4,sep,1,100,4,other,yes
189,54,admin.,married,primary,no,0,yes,no,cellular,30,jan,3,-1,0,unknown,no
190,45,technician,married,secondary,no,3601,yes,no,unknown,30,may,2,-1,0,unknown,no
191,35,self-employed,married,secondary,no,670,no,no,cellular,9,jul,1,-1,0,unknown,no
192,27,unemployed,single,secondary,no,771,no,no,cellular,21,oct,1,302,3,other,yes
193,48,technician,divorced,secondary,no,145,yes,no,cellular,13,aug,5,-1,0,unknown,no
194,31,blue-collar,married,primary,no,55,yes,yes,cellular,17,apr,2,-1,0,unknown,no
195,24,blue-collar,married,secondary,no,-220,yes,no,cellular,2,apr,1,-1,0,unknown,no
196,59,retired,married,primary,no,0,yes,no,unknown,26,may,7,-1,0,unknown,no
197,48,admin.,married,primary,no,3644,yes,yes,telephone,31,jul,9,-1,0,unknown,yes
198,46,blue-collar,divorced,secondary,no,1074,yes,no,cellular,14,may,2,-1,0,unknown,no
199,31,management,married,tertiary,no,477,yes,no,cellular,21,nov,5,-1,0,unknown,no
200,40,admin.,single,secondary,no,178,yes,no,cellular,7,may,1,-1,0,unknown,no
201,34,unknown,married,unknown,no,164,no,no,cellular,4,aug,2,-1,0,unknown,no
202,58,unemployed,married,primary,no,446,no,no,cellular,28,jan,2,-1,0,unknown,no
203,27,management,married,tertiary,no,1531,yes,no,cellular,15,may,1,367,4,failure,no
204,30,blue-collar,single,secondary,no,799,no,no,unknown,13,jun,1,-1,0,unknown,yes
205,35,services,divorced,secondary,no,-718,yes,no,cellular,21,nov,1,-1,0,unknown,no
206,49,technician,married,secondary,no,662,no,no,unknown,18,jun,2,-1,0,unknown,no
207,38,management,married,tertiary,no,691,yes,yes,cellular,4,aug,1,-1,0,unknown,no
208,37,management,single,tertiary,no,1743,yes,no,cellular,18,nov,1,113,2,failure,no
209,36,admin.,divorced,secondary,no,1089,yes,no,telephone,13,may,5,175,4,other,no
210,29,technician,single,tertiary,no,-803,yes,yes,cellular,6,may,1,329,9,failure,no
211,46,technician,divorced,secondary,yes,-1361,yes,yes,cellular,18,nov,1,-1,0,unknown,no
212,28,management,single,tertiary,no,6817,yes,no,cellular,4,feb,4,-1,0,unknown,no
213,30,admin.,single,secondary,no,0,no,no,cellular,4,sep,3,-1,0,unknown,yes
214,58,management,married,tertiary,no,2261,yes,no,cellular,3,jun,1,391,1,failure,no
215,30,blue-collar,single,primary,no,-10,no,yes,cellular,4,feb,1,-1,0,unknown,no
216,32,technician,single,tertiary,no,4,yes,no,cellular,30,apr,1,-1,0,unknown,no
217,46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,1,183,2,failure,no
218,46,technician,married,secondary,no,399,yes,no,unknown,9,jun,2,-1,0,unknown,no
219,33,services,married,primary,no,0,yes,no,cellular,18,jul,2,-1,0,unknown,no
220,33,technician,single,secondary,no,177,yes,no,unknown,23,may,1,-1,0,unknown,no
221,55,blue-collar,married,unknown,no,1665,no,no,telephone,30,jul,2,-1,0,unknown,no
222,44,services,divorced,secondary,no,2416,yes,no,unknown,14,may,3,-1,0,unknown,no
223,57,retired,divorced,primary,no,698,no,no,telephone,9,dec,3,191,2,failure,no
224,35,admin.,single,secondary,no,424,yes,no,cellular,20,apr,4,-1,0,unknown,no
225,29,blue-collar,married,secondary,no,0,no,no,cellular,10,jul,1,-1,0,unknown,no
226,30,student,single,tertiary,no,300,no,no,cellular,6,feb,1,-1,0,unknown,no
227,30,technician,single,secondary,no,126,no,no,cellular,19,aug,2,-1,0,unknown,no
228,53,retired,married,secondary,no,1554,no,no,unknown,5,jun,1,-1,0,unknown,no
229,30,admin.,single,tertiary,no,1535,no,no,cellular,18,aug,4,-1,0,unknown,no
230,31,blue-collar,married,secondary,no,1545,yes,yes,cellular,13,may,1,-1,0,unknown,no
231,31,management,married,tertiary,no,8279,no,no,cellular,6,aug,2,-1,0,unknown,no
232,53,technician,married,secondary,no,757,no,no,cellular,4,feb,5,-1,0,unknown,no
233,43,technician,divorced,secondary,yes,73,yes,no,cellular,14,jul,2,-1,0,unknown,no
234,32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,4,-1,0,unknown,no
235,36,blue-collar,married,secondary,no,723,yes,no,cellular,31,jul,2,-1,0,unknown,no
236,44,blue-collar,married,primary,no,93,yes,no,cellular,17,nov,1,-1,0,unknown,no
237,30,management,single,tertiary,no,57,yes,no,cellular,4,feb,2,-1,0,unknown,no
238,32,management,married,tertiary,no,1388,yes,no,cellular,13,aug,1,105,1,success,no
239,23,services,single,secondary,no,567,yes,yes,cellular,15,may,1,-1,0,unknown,no
240,43,management,married,secondary,no,10273,no,no,cellular,7,aug,2,-1,0,unknown,no
241,30,unemployed,single,secondary,no,8304,no,no,cellular,20,apr,1,-1,0,unknown,no
242,32,management,single,tertiary,no,41,no,no,cellular,21,aug,5,-1,0,unknown,yes
243,52,blue-collar,married,primary,no,273,yes,no,cellular,12,aug,2,-1,0,unknown,no
244,35,entrepreneur,married,secondary,no,2971,no,no,cellular,21,nov,2,-1,0,unknown,no
245,42,blue-collar,married,secondary,no,3213,no,no,telephone,28,oct,1,-1,0,unknown,no
246,35,management,married,tertiary,no,2793,no,no,cellular,20,nov,2,-1,0,unknown,no
247,52,blue-collar,married,secondary,no,60,no,yes,cellular,26,aug,2,-1,0,unknown,no
248,57,retired,married,secondary,no,919,yes,yes,unknown,19,may,2,-1,0,unknown,no
249,35,blue-collar,single,secondary,no,0,yes,no,cellular,11,may,1,305,1,failure,no
250,71,retired,married,tertiary,no,14220,yes,no,cellular,9,sep,1,-1,0,unknown,yes
251,33,blue-collar,divorced,primary,no,-53,yes,no,unknown,26,may,1,-1,0,unknown,no
252,51,housemaid,married,secondary,no,260,no,no,cellular,27,aug,5,-1,0,unknown,no
253,30,blue-collar,married,secondary,no,2583,yes,no,cellular,14,may,3,-1,0,unknown,no
254,36,unemployed,single,primary,no,0,yes,no,telephone,7,jul,6,-1,0,unknown,no
255,47,blue-collar,married,secondary,no,303,no,no,unknown,11,jun,1,-1,0,unknown,no
256,44,blue-collar,married,primary,no,-298,yes,no,cellular,6,may,1,-1,0,unknown,no
257,31,entrepreneur,divorced,secondary,no,290,yes,no,cellular,13,apr,1,-1,0,unknown,no
258,34,blue-collar,married,secondary,no,2595,yes,yes,cellular,17,apr,1,336,2,other,no
259,28,management,single,secondary,no,1609,yes,no,cellular,18,may,2,315,3,failure,no
260,36,technician,married,tertiary,no,99,yes,yes,cellular,10,feb,1,85,1,failure,no
261,58,retired,married,tertiary,no,1326,no,no,cellular,28,aug,1,-1,0,unknown,no
262,43,blue-collar,single,primary,no,0,no,no,cellular,9,jul,1,-1,0,unknown,yes
263,28,technician,single,secondary,no,1532,no,no,cellular,4,feb,5,-1,0,unknown,no
264,33,services,married,secondary,no,1076,no,no,cellular,7,aug,1,259,4,failure,no
265,36,technician,married,secondary,no,300,no,no,unknown,9,jun,1,-1,0,unknown,no
266,54,blue-collar,married,primary,no,95,no,no,cellular,25,jul,1,-1,0,unknown,no
267,60,retired,married,secondary,no,90,yes,no,cellular,25,jul,3,-1,0,unknown,no
268,36,management,married,tertiary,no,481,yes,no,cellular,19,nov,3,-1,0,unknown,no
269,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,1,-1,0,unknown,no
270,46,blue-collar,married,unknown,no,8,no,no,cellular,11,aug,6,-1,0,unknown,no
271,49,technician,married,tertiary,no,8422,yes,no,cellular,20,nov,3,-1,0,unknown,no
272,65,management,married,unknown,no,2352,no,no,cellular,8,nov,3,188,13,success,no
273,33,housemaid,married,tertiary,no,4958,yes,no,unknown,20,may,1,-1,0,unknown,no
274,35,technician,married,secondary,no,905,no,yes,cellular,21,aug,2,-1,0,unknown,no
275,32,self-employed,single,tertiary,no,368,no,no,cellular,21,nov,2,-1,0,unknown,no
276,36,technician,married,tertiary,no,1179,yes,no,cellular,25,sep,1,-1,0,unknown,no
277,34,management,married,tertiary,no,0,no,no,cellular,2,feb,1,-1,0,unknown,no
278,38,entrepreneur,married,secondary,no,-272,no,yes,unknown,17,jun,2,-1,0,unknown,no
279,37,blue-collar,single,secondary,no,5742,yes,yes,cellular,30,jan,1,-1,0,unknown,no
280,27,admin.,single,secondary,no,255,no,no,cellular,12,feb,1,182,4,success,no
281,48,services,married,secondary,no,3726,yes,no,cellular,29,jul,2,-1,0,unknown,no
282,35,admin.,married,secondary,no,11,yes,no,cellular,23,jul,4,-1,0,unknown,no
283,46,management,married,tertiary,no,-591,no,no,cellular,9,jul,1,-1,0,unknown,no
284,29,services,married,secondary,no,23,no,no,cellular,17,jul,4,-1,0,unknown,no
285,33,blue-collar,married,secondary,no,304,yes,no,unknown,13,may,2,-1,0,unknown,no
286,25,blue-collar,single,secondary,no,0,no,no,cellular,23,apr,1,-1,0,unknown,yes
287,41,technician,married,tertiary,no,3700,no,no,cellular,19,nov,1,-1,0,unknown,no
288,42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,1,103,4,success,no
289,52,blue-collar,married,secondary,no,1500,no,yes,unknown,20,jun,3,-1,0,unknown,no
290,47,admin.,married,secondary,no,328,no,no,cellular,13,aug,2,-1,0,unknown,no
291,28,student,single,secondary,no,29,no,yes,cellular,6,feb,1,-1,0,unknown,no
292,53,technician,married,secondary,no,768,yes,no,cellular,10,jul,1,-1,0,unknown,no
293,50,technician,married,secondary,no,-568,yes,yes,unknown,28,may,2,-1,0,unknown,no
294,33,technician,married,secondary,no,1072,no,yes,unknown,29,may,2,-1,0,unknown,no
295,28,admin.,married,secondary,no,147,yes,yes,cellular,26,may,1,-1,0,unknown,no
296,31,management,single,secondary,no,783,yes,no,unknown,6,may,1,-1,0,unknown,no
297,26,services,single,secondary,no,136,no,no,cellular,20,apr,1,-1,0,unknown,yes
298,33,technician,single,tertiary,no,129,yes,no,unknown,8,may,1,-1,0,unknown,no
299,46,services,married,secondary,no,2948,no,no,cellular,21,nov,1,-1,0,unknown,yes
300,26,technician,single,secondary,no,152,no,yes,cellular,29,jan,1,-1,0,unknown,no
301,56,management,divorced,tertiary,no,3287,no,no,cellular,27,apr,1,-1,0,unknown,yes
302,45,blue-collar,married,primary,no,456,yes,no,cellular,11,may,1,-1,0,unknown,no
303,40,management,divorced,secondary,no,108,no,no,cellular,9,feb,6,-1,0,unknown,no
304,41,admin.,married,secondary,no,176,no,no,unknown,9,jun,1,-1,0,unknown,no
305,32,services,single,secondary,no,995,yes,no,cellular,26,may,1,-1,0,unknown,no
306,44,management,married,tertiary,no,-199,yes,no,telephone,22,jul,12,-1,0,unknown,no
307,53,management,divorced,secondary,no,28,yes,no,cellular,6,may,2,289,1,failure,no
308,32,management,single,tertiary,no,90,no,no,cellular,13,aug,2,-1,0,unknown,no
309,33,services,married,secondary,no,931,yes,no,unknown,29,may,3,-1,0,unknown,no
